"Rank","ID","Name","Total miles"
1,"128445","BURN Running Club",7252
2,"327007","百駿 Bergen Runners",5416
3,"241951","岚山 Misty Mountain Runners",4584
4,"187897","CRIT",3932
5,"204946","NewBee Running Club",3812
6,"452667","威跑团",3658
7,"229749","Run100871 北大100871跑团",3366
8,"439808","东奔西跑，WERun",3193
9,"72363","驰 Chi Runners",3114
10,"183643","Long Running Club",3109
11,"234023","犇, BEN Running Club",3038
12,"155681","达跑团DASH",3035
13,"330129","飛狐PHIRE",2573
14,"157594","西雅图SU跑团, Seattle United Runners (SU Runners)",2429
15,"464836","91集训营",2419
16,"452045","Trail Hoppers 山道蚱蜢",2077
17,"147066","Indy Chinese Runners",1877
18,"175314","勝跑团(Sheng Runners)",1752
19,"484248","巍巍南开",1619
20,"197462","鹿跑团DEER",1594
21,"236304","大华府蒙郡跑团，MARC",1521
22,"301632","知足常跑， Patuxent athletic league of striders",1404
23,"438046","Ann-Hua Runners",1224
24,"142275","RED",1206
25,"481356","Nose Hill Running 駜",1176
26,"299365","明州华人雪狼跑团 Minnesota Chinese Snow Wolves Runner Group",1059
27,"523430","Flying Fox 78",972
28,"519388","Princeton Running Team 普林长跑队",963
29,"516025","北卡蓝嶺飞狐 Flying Foxes",890
30,"302045","YOLO跑步骑车群",827
31,"176328","车城MIRun",819
32,"523602","TORCH running",722
33,"196102","GMCRC",633
34,"479503","三头牛跑吧",425
